"Reception Date","Remittance Date","Reference Date","Module ID","Sender","Entity ID","Institution","IREF","Revision Number","Version Number","Acceptance Status","Validation Status","Last Version","Last Accepted","Sent To NCA","File Status"
"16-11-2021 17:08","25-08-2021","2021-06","COREP_LE_Con","GR2","JEUVK5RWVJEN8W0C9M24","Eurobank Ergasias Services and Holdings S.A.","000003981","0","3","Not-Accepted","Error","Yes","No","Yes","PROCESSED"
"16-11-2021 17:08","25-08-2021","2021-06","COREP_LE_Con","LU2","549300IVXKQHV6O7PY61","RBC Investor Services Bank S.A.","007105","0","3","Not-Accepted","Error","Yes","No","Yes","PROCESSED"
"16-11-2021 17:08","25-08-2021","2021-06","COREP_LE_Con","LU2","TPS0Q8GFSZF45ZZFL873","Société Générale Luxembourg","007134","0","3","Not-Accepted","Error","Yes","No","Yes","PROCESSED"
"30-09-2021 15:58","15-09-2021","2021-06","COREP_OF_Ind","LU2","UAIAINAJ28P30E5GWE37","BGL BNP Paribas","008020","1","3","Accepted","Warning","Yes","Yes","Yes","PROCESSED"
"13-09-2021 09:39","15-09-2021","2021-06","COREP_LE_Con","BE2","529900GQWNQZIWLG8D46","BEOBANK NV/SA","018820","0","1","Accepted","Valid","Yes","Yes","Yes","PROCESSED"
"17-08-2021 11:05","25-08-2021","2021-06","COREP_LE_Ind","IE2","2G5BKIC2CB69PRJH1W31","Barclays Bank Ireland plc","024737","0","2","Accepted","Valid","Yes","Yes","Yes","PROCESSED"
"16-11-2021 17:08","25-08-2021","2021-06","COREP_LE_Con","IE2","635400C8EK6DRI12LJ39","Bank of Ireland Group plc","024957","2","6","Not-Accepted","Error","Yes","No","Yes","PROCESSED"
"26-11-2021 14:23","25-08-2021","2021-06","COREP_OF_Con","FR2","96950001WI712W7PQG45","RCI Banque","122020","0","5","Not-Accepted","Error","Yes","No","Yes","PROCESSED"
"16-11-2021 17:08","25-08-2021","2021-06","COREP_LE_Con","FR2","969500STN7T9MRUMJ267","Bpifrance","122600","0","3","Not-Accepted","Error","Yes","No","Yes","PROCESSED"
"16-11-2021 17:08","25-08-2021","2021-06","COREP_LE_Con","FR2","O2RNE8IBXP4R0TD8PU41","Société générale","122637","0","3","Not-Accepted","Error","Yes","No","Yes","PROCESSED"
"08-09-2021 03:36","25-08-2021","2021-06","COREP_LE_Con","FR2","9695000CG7B84NLR5984","Confédération Nationale du Crédit Mutuel","123977","3","1","Accepted","Valid","Yes","Yes","Yes","PROCESSED"
"16-11-2021 17:08","25-08-2021","2021-06","COREP_LE_Con","LV2","549300YW95G1VBBGGV07","AS "SEB banka"","20210810403151000","0","3","Not-Accepted","Error","Yes","No","Yes","PROCESSED"
"03-12-2021 16:03","25-08-2021","2021-06","AE_Ind","DE2","529900GM944JT8YIRL63","Münchener Hypothekenbank eG","2427364","0","2","Not-Accepted","Warning","Yes","No","Yes","PROCESSED"
"16-11-2021 17:08","25-08-2021","2021-06","COREP_LE_Con","DE2","VDYMYTQGZZ6DU0912C88","Bayerische Landesbank","2445318","0","3","Not-Accepted","Error","Yes","No","Yes","PROCESSED"
"06-12-2021 16:28","25-08-2021","2021-06","COREP_LE_Con","DE2","391200EEGLNXBBCVKC73","Erwerbsgesellschaft der S-Finanzgruppe mbH & Co. KG","2446669","0","3","Not-Accepted","Error","Yes","No","Yes","PROCESSED"
"16-11-2021 17:08","15-09-2021","2021-06","COREP_OF_Ind","DE2","529900K16YGKC8BES892","Deutsche Kreditbank Aktiengesellschaft","2458906","0","6","Not-Accepted","Error","Yes","No","Yes","PROCESSED"
"03-12-2021 16:02","15-09-2021","2021-06","AE_Con","DE2","529900KRVTRP5RWP9K95","Santander Consumer Holding GmbH","2460293","1","2","Not-Accepted","Warning","Yes","No","Yes","PROCESSED"
"03-12-2021 16:01","15-09-2021","2021-06","AE_Ind","DE2","529900K16YGKC8BES892","Deutsche Kreditbank Aktiengesellschaft","2565493","1","2","Not-Accepted","Warning","Yes","No","Yes","PROCESSED"
"20-10-2021 06:46","25-08-2021","2021-06","COREP_LE_Con","DE2","DZZ47B9A52ZJ6LT6VV95","Deutsche Pfandbriefbank AG","2574126","1","1","Accepted","Valid","Yes","Yes","Yes","PROCESSED"
"16-11-2021 17:08","25-08-2021","2021-06","COREP_LE_Con","IT2","N747OI7JINV7RUUH6190","BPER BANCA S.P.A.","344884","0","4","Not-Accepted","Error","Yes","No","Yes","PROCESSED"
"16-11-2021 17:08","15-09-2021","2021-06","COREP_LE_Con","IT2","8156007D348794DB1690","CRÉDIT AGRICOLE ITALIA S.P.A.","347345","0","6","Not-Accepted","Error","Yes","No","Yes","PROCESSED"
"16-11-2021 17:11","25-08-2021","2021-06","COREP_LE_Con","AT2","9ZHRYM6F437SQJ6OUG95","Raiffeisen Bank International AG","358001","0","4","Not-Accepted","Error","Yes","No","Yes","PROCESSED"
"16-11-2021 17:08","25-08-2021","2021-06","COREP_LE_Con","HR2","549300A2F46GR0UOM390","Erste&Steiermärkische Bank d.d.","3904","0","3","Not-Accepted","Error","Yes","No","Yes","PROCESSED"
"03-12-2021 16:02","25-08-2021","2021-06","AE_Con","EE2","549300ND1MQ8SNNYMJ22","AS SEB Pank","8719","2","2","Not-Accepted","Warning","Yes","No","Yes","PROCESSED"
"03-12-2021 16:03","25-08-2021","2021-06","AE_Con","CY2","CXUHEGU3MADZ2CEV7C11","Hellenic Bank Public Company Ltd","FXAUTO253406","0","6","Not-Accepted","Warning","Yes","No","Yes","PROCESSED"
